movie_title,actor_1_facebook_likes,gross,language,director_name,title_year,genres,movie_facebook_likes,season,movie_imdb_link,movie_lens_rating,imdb_score,plot_keywords,aspect_ratio,num_critic_for_reviews,country,duration,facenumber_in_poster,director_facebook_likes,week_day,actor_3_name,num_user_for_reviews,color,date,cast_total_facebook_likes,actor_2_name,actor_3_facebook_likes,num_voted_users,actor_1_name,actor_2_facebook_likes,budget
Brooklyn,838,38317535,English,John Crowley,2015,Drama|Romance,36000,fall,http://www.imdb.com/title/tt2381111/?ref_=fn_tt_tt_1,,7.5,1950s|immigrant|irish|irish accent|torn between two worlds,1.85,351,UK,111,1,34,2,Eva Birthistle,212,Color,11/25/2015 0:00,995,Fiona Glascott,54,73249,Julie Walters,55,11000000
Brother,865,447750,English,Takeshi Kitano,2000,Crime|Drama|Thriller,0,winter,http://www.imdb.com/title/tt0222851/?ref_=fn_tt_tt_1,,7.2,gang|gangster|subjective camera|written and directed by cast member|yakuza,1.85,81,USA,114,0,0,5,James Shigeta,133,Color,1/27/2001 0:00,2126,Tatyana Ali,403,18520,Omar Epps,685,10000000
Brotherly Love,628,444044,English,Jamal Hill,2015,Drama,1000,spring,http://www.imdb.com/title/tt3262990/?ref_=fn_tt_tt_1,,7.2,basketball|burglary|police|robbery|teenage girl,1.85,10,USA,89,6,47,4,Faizon Love,19,Color,4/24/2015 0:00,4249,Adam Ratcliffe,585,744,Logan Browning,606,1900000
Brothers,20000,28501651,English,Jim Sheridan,2009,Drama|Thriller,10000,fall,http://www.imdb.com/title/tt0765010/?ref_=fn_tt_tt_1,3,7.1,afghanistan|death of soldier|presumed dead|prisoner|war trauma,2.35,217,USA,105,0,260,4,Bailee Madison,201,Color,12/4/2009 0:00,42473,Jake Gyllenhaal,3000,88035,Natalie Portman,15000,26000000
Brothers,20000,28501651,English,Jim Sheridan,2009,Drama|Thriller,10000,fall,http://www.imdb.com/title/tt0765010/?ref_=fn_tt_tt_1,4,7.1,afghanistan|death of soldier|presumed dead|prisoner|war trauma,2.35,217,USA,105,0,260,4,Ethan Suplee,201,Color,12/4/2009 0:00,39473,Jake Gyllenhaal,1000,88037,Natalie Portman,15000,26000000
Brown Sugar,1000,27362712,English,Rick Famuyiwa,2002,Comedy|Drama|Music|Romance,0,fall,http://www.imdb.com/title/tt0297037/?ref_=fn_tt_tt_1,,6.5,basketball|hip hop|rap music|record company|writer,1.85,37,USA,109,1,44,4,Wendell Pierce,60,Color,10/11/2002 0:00,3199,Sanaa Lathan,458,5971,Boris Kodjoe,886,8000000
Bruce Almighty,11000,242589580,English,Tom Shadyac,2003,Comedy|Drama,0,spring,http://www.imdb.com/title/tt0315327/?ref_=fn_tt_tt_1,,6.7,answer to prayer|breast expansion|pleading with god|supernatural power|walking on water,1.85,191,USA,101,1,293,4,Lisa Ann Walter,604,Color,5/23/2003 0:00,21276,Steve Carell,1000,296904,Morgan Freeman,7000,81000000
Bubba Ho-Tep,1000,,English,Don Coscarelli,2002,Comedy|Fantasy|Mystery,0,fall,http://www.imdb.com/title/tt0281686/?ref_=fn_tt_tt_1,,7.2,cult film|elvis|elvis presley|nursing home|texas,1.85,260,USA,92,2,152,4,Ella Joyce,366,Color,10/10/2003 0:00,1587,Ossie Davis,124,38893,Daniel Roebuck,282,1000000
Bubble Boy,15000,5002310,English,Blair Hayes,2001,Adventure|Comedy|Romance|Sci-Fi,0,summer,http://www.imdb.com/title/tt0258470/?ref_=fn_tt_tt_1,,5.6,cigarette smoking|hand on butt|niagara falls|plastic bubble|wedding,2.35,47,USA,84,0,2,4,Marley Shelton,181,Color,8/24/2001 0:00,18864,Geoffrey Arend,690,25541,Jake Gyllenhaal,816,13000000
Bucky Larson: Born to Be a Star,982,2331318,English,Tom Brady,2011,Comedy,0,summer,http://www.imdb.com/title/tt1411664/?ref_=fn_tt_tt_1,3,3.3,diner|eating a banana|masturbation|porn star|shooting a pornographic movie,1.85,49,USA,97,1,105,4,Nicholas Turturro,64,Color,9/9/2011 0:00,2603,Kevin Nealon,269,9541,Don Johnson,503,10000000
"Buen D\xc3\xada, Ram\xc3\xb3n",623,100412,German,Jorge Ram\xc3\xadrez Su\xc3\xa1rez,2013,Drama,0,summer,http://www.imdb.com/title/tt2876428/?ref_=fn_tt_tt_1,2,7.7,,2.35,26,Mexico,120,0,45,3,Arcelia Ram\xc3\xadrez,7,Color,8/21/2014 0:00,824,Adriana Barraza,69,2112,Hector Kotsifakis,85,4000000
Buffalo Soldiers,936,353743,English,Gregor Jordan,2001,Comedy|Crime|Drama|Thriller|War,664,fall,http://www.imdb.com/title/tt0252299/?ref_=fn_tt_tt_1,2,6.9,berlin wall|germany|murder|soldier|specialist,2.35,109,UK,98,1,34,3,Leon,111,Color,10/31/2002 0:00,3578,Scott Glenn,730,20730,Dean Stockwell,826,15000000
Buffy the Vampire Slayer            ,4000,,English,,,Action|Drama|Fantasy|Romance,6000,Fail,http://www.imdb.com/title/tt0118276/?ref_=fn_tt_tt_1,,8.2,action heroine|coming of age|destiny|double life|vampire,1.33,96,USA,44,0,,Series_No_Date,Emma Caulfield,665,Color,No date,7970,Alyson Hannigan,970,101902,Sarah Michelle Gellar,3000,2300000
Bullet to the Head,13000,9483821,English,Walter Hill,2012,Action|Thriller,10000,winter,http://www.imdb.com/title/tt1308729/?ref_=fn_tt_tt_1,4,5.7,bar|bullet|corruption|detective|lawyer,1.85,279,USA,92,3,394,4,Jon Seda,131,Color,2/1/2013 0:00,25418,Jason Momoa,565,39247,Sylvester Stallone,11000,55000000
Bulletproof Monk,961,23020488,English,Paul Hunter,2003,Action|Comedy|Fantasy,846,spring,http://www.imdb.com/title/tt0245803/?ref_=fn_tt_tt_1,2,5.5,monastery|monk|scroll|tibetan|tibetan monk,2.35,127,USA,104,3,13,2,Victoria Smurfit,180,Color,4/16/2003 0:00,2422,Mako,343,42324,Jaime King,691,52000000
Bullets Over Broadway,1000,13383737,English,Woody Allen,1994,Comedy|Crime,979,winter,http://www.imdb.com/title/tt0109348/?ref_=fn_tt_tt_1,,7.5,actress|bodyguard|new york city|play|playwright,1.85,67,USA,98,4,11000,4,Dianne Wiest,86,Color,2/24/1995 0:00,4302,Chazz Palminteri,967,29385,Jim Broadbent,979,20000000
Bully,730,510092,English,Larry Clark,2001,Biography|Crime|Drama,0,fall,http://www.imdb.com/title/tt0242193/?ref_=fn_tt_tt_1,,7,cruelty|friend|male frontal nudity|male nudity|pubic hair,1.85,76,USA,115,0,184,2,Brad Renfro,336,Color,12/12/2001 0:00,3293,Nick Stahl,551,29424,Kelli Garner,648,
Bulworth,631,26525834,English,Warren Beatty,1998,Comedy|Drama|Romance,0,spring,http://www.imdb.com/title/tt0118798/?ref_=fn_tt_tt_1,4.5,6.8,hip hop|liberal|politics|senator|truth,1.85,110,USA,108,1,631,4,Graham Beckel,227,Color,5/22/1998 0:00,1023,Kirk Baltz,95,21998,Warren Beatty,199,30000000
Buried,16000,1028658,English,Rodrigo Cort\xc3\xa9s,2010,Drama|Mystery|Thriller,24000,fall,http://www.imdb.com/title/tt1462758/?ref_=fn_tt_tt_1,,7,buried alive|coffin|iraq|one person|single set production,2.35,363,Spain,95,0,89,4,Erik Palladino,447,Color,10/15/2010 0:00,17471,Samantha Mathis,263,118684,Ryan Reynolds,517,3000000
Burlesque,2000,39440655,English,Steve Antin,2010,Drama|Music|Musical|Romance,19000,fall,http://www.imdb.com/title/tt1126591/?ref_=fn_tt_tt_1,2,6.4,burlesque|dancer|iowa|small town girl|stage,2.35,197,USA,119,1,59,2,David Walton,222,Color,11/24/2010 0:00,4315,Peter Gallagher,676,61680,Eric Dane,828,55000000
Burn After Reading,24000,60338891,English,Ethan Coen,2008,Comedy|Drama,0,summer,http://www.imdb.com/title/tt0887883/?ref_=fn_tt_tt_1,3,7,cia|divorce|embassy|gym|memoir,1.85,341,USA,96,0,1000,4,Kevin Sussman,545,Color,9/12/2008 0:00,36093,Brad Pitt,681,248468,J.K. Simmons,11000,37000000
Burn,2,111300,English,Tom Putnam,2012,Documentary,801,spring,http://www.imdb.com/title/tt1781784/?ref_=fn_tt_tt_1,,7.5,abandoned building|detroit michigan|firefighter|michigan|urban setting,2.35,22,USA,86,0,15,6,Craig Dougherty,6,Color,4/22/2012 0:00,2,Donald Austin,0,575,Brendan Doogie Milewski,0,225000
Burnt,14000,13650738,English,John Wells,2015,Comedy|Drama,25000,fall,http://www.imdb.com/title/tt2503944/?ref_=fn_tt_tt_1,3,6.6,chef|gay kiss|michelin star|restaurant|violent behavior,2.35,175,USA,101,1,53,4,Riccardo Scamarcio,129,Color,10/30/2015 0:00,16926,Omar Sy,580,61360,Bradley Cooper,1000,20000000
Butch Cassidy and the Sundance Kid,640,102308900,English,George Roy Hill,1969,Biography|Crime|Drama|Western,0,fall,http://www.imdb.com/title/tt0064115/?ref_=fn_tt_tt_1,,8.1,bolivia|gang|outlaw|posse|train,2.35,130,USA,110,1,131,4,Kenneth Mars,309,Color,10/24/1969 0:00,2169,Ted Cassidy,399,152089,Katharine Ross,566,6000000
Butterfly Girl,0,,English,Cary Bell,2014,Documentary,88,Fail,http://www.imdb.com/title/tt2421956/?ref_=fn_tt_tt_1,1,8.7,,,,USA,78,0,0,No_Date,Emily Gorell,1,Color,No date,0,Stacie Evans,0,27,Abigail Evans,0,180000
Butterfly,602,,English,Matt Cimber,1982,Crime|Drama,76,winter,http://www.imdb.com/title/tt0082122/?ref_=fn_tt_tt_1,,4.5,breasts|female frontal nudity|female rear nudity|incest|voyeur,1.85,15,USA,108,0,32,4,Stuart Whitman,18,Color,2/5/1982 0:00,1991,June Lockhart,180,870,Stacy Keach,427,
By the Sea,11000,531009,English,Angelina Jolie Pitt,2015,Drama|Romance,0,fall,http://www.imdb.com/title/tt3707106/?ref_=fn_tt_tt_1,2,5.3,cheating wife|cigarette smoking|male in shower|male nudity|male rear nudity,2.35,131,USA,122,0,11000,2,Melvil Poupaud,61,Color,12/9/2015 0:00,22319,Angelina Jolie Pitt,188,7976,Brad Pitt,11000,10000000
C.H.U.D.,796,,English,Douglas Cheek,1984,Horror|Sci-Fi,0,summer,http://www.imdb.com/title/tt0087015/?ref_=fn_tt_tt_1,,5.5,bum|city|mutant|new york city|street,1.85,77,USA,96,0,4,4,Sam McMurray,88,Color,8/31/1984 0:00,1866,John Heard,132,7528,Daniel Stern,697,1250000
Ca$h,26000,46451,English,Stephen Milburn Anderson,2010,Comedy|Crime|Thriller,694,spring,http://www.imdb.com/title/tt1106860/?ref_=fn_tt_tt_1,1,6,cash|financial problem|heist|land rover|mortgage,1.85,27,USA,118,2,0,4,Paul Sanchez,38,Color,3/26/2010 0:00,27756,Mike Starr,410,7663,Chris Hemsworth,854,7000000
Cabin Fever,427,,English,Travis Zariwny,2016,Horror,2000,spring,http://www.imdb.com/title/tt3832096/?ref_=fn_tt_tt_1,4,3.7,female rear nudity|flesh eating virus|horror movie remake|remake|topless female nudity,,68,USA,99,0,4,4,Samuel Davis,40,Color,5/13/2016 0:00,992,Gage Golightly,114,3313,Dustin Ingram,253,
Caddyshack,13000,39800000,English,Harold Ramis,1980,Comedy|Sport,0,summer,http://www.imdb.com/title/tt0080487/?ref_=fn_tt_tt_1,2.5,7.4,caddy|country club|golf course|gopher|nudity,1.85,71,USA,98,3,11000,4,Brian Doyle-Murray,250,Color,7/25/1980 0:00,14921,Rodney Dangerfield,484,81599,Bill Murray,573,6000000
Cadillac Records,436,8134217,English,Darnell Martin,2008,Biography|Drama|Music,0,fall,http://www.imdb.com/title/tt1042877/?ref_=fn_tt_tt_1,,7,1950s|jazz|jazz music|sex|title directed by female,2.35,81,USA,109,3,67,4,Tammy Blanchard,90,Color,12/5/2008 0:00,1141,Veronika Dash,192,15412,Cedric the Entertainer,223,12000000
Call + Response,178,215185,English,Justin Dillon,2008,Documentary|History|Music,26,fall,http://www.imdb.com/title/tt1301130/?ref_=fn_tt_tt_1,4,7.5,fair trade|human trafficking|non profit|rockumentary|slavery,,7,USA,86,3,0,4,Madeleine Albright,2,Color,10/10/2008 0:00,279,Natasha Bedingfield,15,48,Matisyahu,58,200000
Camping sauvage,226,,French,Christophe Ali,2005,Drama,11,Fail,http://www.imdb.com/title/tt0451673/?ref_=fn_tt_tt_1,2.5,5.4,cabin|girl fight|jealousy|sailing boat|tent,,7,France,79,0,0,No_Date,Emmanuelle Bercot,6,Color,No date,286,Isild Le Besco,20,262,Denis Lavant,40,
Cape Fear,22000,79100000,English,Martin Scorsese,1991,Crime|Thriller,0,fall,http://www.imdb.com/title/tt0101540/?ref_=fn_tt_tt_1,4,7.3,lawyer|neo noir|prison|rapist|southern gothic,2.35,120,USA,128,0,17000,4,Joe Don Baker,261,Color,11/15/1991 0:00,24006,Robert Mitchum,387,127503,Robert De Niro,1000,35000000
Capitalism: A Love Story,1000,14359793,English,Michael Moore,2009,Crime|Documentary|News,10000,fall,http://www.imdb.com/title/tt1232207/?ref_=fn_tt_tt_1,0.5,7.4,capitalism|critique of capitalism|investment bank|market economy|plutocracy,1.85,222,USA,105,0,909,4,Bernie Sanders,188,Color,10/2/2009 0:00,2327,Michael Moore,173,35137,Ronald Reagan,909,
Capote,22000,28747570,English,Bennett Miller,2005,Biography|Crime|Drama,0,winter,http://www.imdb.com/title/tt0379725/?ref_=fn_tt_tt_1,4,7.4,book|holcomb kansas|kansas|killer|truman capote,2.35,271,Canada,110,1,152,4,Kwesi Ameyaw,416,Color,2/3/2006 0:00,22140,Michael J. Burg,27,100571,Philip Seymour Hoffman,68,7000000
Capricorn One,1000,,English,Peter Hyams,1977,Action|Sci-Fi|Thriller,2000,spring,http://www.imdb.com/title/tt0077294/?ref_=fn_tt_tt_1,4,6.8,astronaut|hoax|journalist|mission|nasa,2.35,64,USA,130,0,0,4,Hal Holbrook,153,Color,6/2/1978 0:00,5191,Sam Waterston,826,15988,David Huddleston,849,5000000
Captain Alatriste: The Spanish Musketeer,10000,,Spanish,Agust\xc3\xadn D\xc3\xadaz Yanes,2006,Adventure|Drama|History|Romance|Thriller|War,0,Fail,http://www.imdb.com/title/tt0395119/?ref_=fn_tt_tt_1,4,6.1,desire|fighting|king|spain|trap,1.85,31,Spain,145,1,13,No_Date,Eduardo Noriega,84,Color,No date,11669,Elena Anaya,278,10266,Viggo Mortensen,1000,24000000
Captain America: Civil War,21000,407197282,English,Anthony Russo,2016,Action|Adventure|Sci-Fi,72000,spring,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,,8.2,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,2.35,516,USA,147,0,94,4,Chris Evans,1022,Color,5/6/2016 0:00,64798,Scarlett Johansson,11000,272670,Robert Downey Jr.,19000,250000000
Captain America: The First Avenger,11000,176636816,English,Joe Johnston,2011,Action|Adventure|Sci-Fi,46000,summer,http://www.imdb.com/title/tt0458339/?ref_=fn_tt_tt_1,2,6.9,arctic|captain america|scientist|tesseract|war bond,2.35,510,USA,124,0,394,4,Hayley Atwell,679,Color,7/22/2011 0:00,19761,Dominic Cooper,2000,508818,Chris Evans,3000,140000000
Captain America: The Winter Soldier,19000,259746958,English,Anthony Russo,2014,Action|Adventure|Sci-Fi,55000,spring,http://www.imdb.com/title/tt1843866/?ref_=fn_tt_tt_1,3.5,7.8,conspiracy|heroism|megalomaniac|super soldier|world domination,2.35,576,USA,136,1,94,4,Hayley Atwell,742,Color,4/4/2014 0:00,36188,Chris Evans,2000,496749,Scarlett Johansson,11000,170000000
Captain Phillips,15000,107100855,English,Paul Greengrass,2013,Biography|Drama|Thriller,65000,fall,http://www.imdb.com/title/tt1535109/?ref_=fn_tt_tt_1,4.5,7.9,hijacking|hostage|leader|ship|somalia,2.35,491,USA,134,0,521,4,Michael Chernus,527,Color,10/11/2013 0:00,16281,Chris Mulkey,186,323353,Tom Hanks,535,55000000
Captive,1000,2557668,English,Jerry Jameson,2015,Crime|Drama|Thriller,0,summer,http://www.imdb.com/title/tt3268668/?ref_=fn_tt_tt_1,2,5.3,auto theft|based on true story|drug addict|kidnapping|violence,1.85,39,USA,97,1,5,4,Sydelle Noel,22,Color,9/18/2015 0:00,2739,Leonor Varela,349,3911,David Oyelowo,426,2000000
Caramel,227,1060591,Arabic,Nadine Labaki,2007,Comedy|Drama|Romance,0,summer,http://www.imdb.com/title/tt0825236/?ref_=fn_tt_tt_1,3.5,7.2,caramel|friendship|police|secret|suitor,1.85,109,France,95,0,0,3,Nadine Labaki,66,Color,8/9/2007 0:00,231,Adel Karam,0,9750,Yasmine Al Massri,4,1300000
Caravans,16000,1000000,English,James Fargo,1978,Action|Adventure|History,76,fall,http://www.imdb.com/title/tt0077296/?ref_=fn_tt_tt_1,3,6.5,afghanistan|caravan|rebel|russian|tribe,2.35,2,Iran,127,0,109,3,Behrouz Vossoughi,8,Color,11/2/1978 0:00,17250,Joseph Cotten,324,524,Christopher Lee,469,14000000
Cargo,29,,German,Ivan Engler,2009,Mystery|Sci-Fi|Thriller,2000,Fail,http://www.imdb.com/title/tt0381940/?ref_=fn_tt_tt_1,,6.2,23rd century|lucid dream|outer space|space travel|trapped in space,2.35,64,Switzerland,112,0,0,No_Date,Anna Katharina Schwabroh,62,Color,No date,61,Claude-Oliver Rudolph,7,15780,Yangzom Brauen,9,4500000
Carlos            ,897,145118,English,,,Biography|Crime|Drama|Thriller,0,Fail,http://www.imdb.com/title/tt1321865/?ref_=fn_tt_tt_1,3.5,7.7,opec|pubic hair|revolutionary|terrorism|true crime,2.35,108,France,334,0,,Series_No_Date,Katharina Sch\xc3\xbcttler,36,Color,No date,1032,Nora von Waldst\xc3\xa4tten,30,10111,Edgar Ram\xc3\xadrez,30,
Carnage,14000,,English,Roman Polanski,2011,Comedy|Drama,21000,fall,http://www.imdb.com/title/tt1692486/?ref_=fn_tt_tt_1,3,7.2,based on play|meeting|salesman|single set production|whiskey,2.35,376,France,80,3,2000,4,Julie Adams,181,Color,11/18/2011 0:00,25143,Christoph Waltz,132,96480,Kate Winslet,11000,25000000
Carrie,17000,35266619,English,Kimberly Peirce,2013,Drama|Fantasy|Horror,39000,fall,http://www.imdb.com/title/tt1939659/?ref_=fn_tt_tt_1,,5.9,outcast|prom|self injury|telekinesis|tragic event,2.35,359,USA,100,1,108,4,Portia Doubleday,371,Color,10/18/2013 0:00,20051,Judy Greer,534,108242,Chlo\xc3\xab Grace Moretz,2000,30000000
Carrie,17000,35266619,English,Kimberly Peirce,2013,Drama|Fantasy|Horror,39000,fall,http://www.imdb.com/title/tt1939659/?ref_=fn_tt_tt_1,3.5,5.9,outcast|prom|self injury|telekinesis|tragic event,2.35,359,USA,100,1,108,4,Portia Doubleday,371,Color,10/18/2013 0:00,20051,Judy Greer,534,108248,Chlo\xc3\xab Grace Moretz,2000,30000000
Carriers,3000,90820,English,David Pastor,2009,Drama|Horror|Sci-Fi|Thriller,0,summer,http://www.imdb.com/title/tt0806203/?ref_=fn_tt_tt_1,4,6,beach|disease|latex gloves|pandemic|virus,2.35,130,USA,84,0,10,2,Lou Taylor Pucci,119,Color,9/2/2009 0:00,4368,Kiernan Shipka,394,35510,Christopher Meloni,552,
Cars 2,1000,191450875,English,John Lasseter,2011,Adventure|Animation|Comedy|Family|Sport,10000,summer,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1,,6.3,best friend|car race|conspiracy|gadget car|spy,2.35,304,USA,106,0,487,4,Eddie Izzard,283,Color,6/24/2011 0:00,4482,Thomas Kretschmann,776,101178,Joe Mantegna,919,200000000
Cars,1000,244052771,English,John Lasseter,2006,Adventure|Animation|Comedy|Family|Sport,0,spring,http://www.imdb.com/title/tt0317219/?ref_=fn_tt_tt_1,,7.2,car|desert|route 66|tow truck|truck,2.35,256,USA,117,0,487,4,George Carlin,584,Color,6/9/2006 0:00,4905,Cheech Marin,769,263853,John Ratzenberger,843,120000000
Casa de mi Padre,8000,5895238,Spanish,Matt Piedmont,2012,Comedy|Western,9000,spring,http://www.imdb.com/title/tt1702425/?ref_=fn_tt_tt_1,,5.5,absurd humor|drug lord|mexico|ranch|spaghetti western,2.35,133,USA,84,1,4,4,Luis E. Carazo,70,Color,5/11/2012 0:00,10123,Adrian Martinez,546,17169,Will Ferrell,806,6000000
Casablanca,2000,,English,Michael Curtiz,1942,Drama|Romance|War,23000,winter,http://www.imdb.com/title/tt0034583/?ref_=fn_tt_tt_1,1,8.6,american expatriate|casablanca morocco|gestapo|police|visa,1.37,242,USA,82,4,345,5,Conrad Veidt,1123,Color,1/23/1943 0:00,3442,Claude Rains,269,387508,Humphrey Bogart,607,950000
Case 39,14000,13248477,English,Christian Alvart,2009,Horror|Mystery|Thriller,0,fall,http://www.imdb.com/title/tt0795351/?ref_=fn_tt_tt_1,3.5,6.2,death|fear|hairy chest|social worker|spinning in chair,2.35,167,USA,109,1,22,4,Vanesa Tomasino,174,Color,10/1/2010 0:00,15790,Callum Rennie,355,60555,Bradley Cooper,716,27000000
Casino Jack,18000,1039869,English,George Hickenlooper,2010,Biography|Comedy|Crime|Drama,0,winter,http://www.imdb.com/title/tt1194417/?ref_=fn_tt_tt_1,0.5,6.2,corruption|lobbyist|murder|washington d.c.|washington d.c. lobbyist,2.35,117,Canada,108,5,60,4,Christian Campbell,51,Color,1/7/2011 0:00,18739,Eric Schweig,168,14757,Kevin Spacey,322,15000000
Casino Royale,6000,167007184,English,Martin Campbell,2006,Action|Adventure|Thriller,0,fall,http://www.imdb.com/title/tt0381061/?ref_=fn_tt_tt_1,0.5,8,casino|espionage|free running|james bond|terrorist,2.35,400,UK,144,1,258,4,Ivana Milicevic,2301, Black and White,11/17/2006 0:00,9125,Tobias Menzies,834,470483,Eva Green,1000,150000000
Casino Royale,6000,167007184,English,Martin Campbell,2006,Action|Adventure|Thriller,0,fall,http://www.imdb.com/title/tt0381061/?ref_=fn_tt_tt_1,1,8,casino|espionage|free running|james bond|terrorist,2.35,400,UK,144,1,258,4,Ivana Milicevic,2301, Black and White,11/17/2006 0:00,9125,Tobias Menzies,834,470501,Eva Green,1000,150000000
Casino,22000,42438300,English,Martin Scorsese,1995,Biography|Crime|Drama,11000,fall,http://www.imdb.com/title/tt0112641/?ref_=fn_tt_tt_1,,8.2,car bomb|card cheat|cash|casino|gambling syndicate,2.35,133,USA,178,2,17000,2,Kevin Pollak,533,Color,11/22/1995 0:00,24183,Don Rickles,574,333542,Robert De Niro,721,52000000
Casper,795,100328194,English,Brad Silberling,1995,Comedy|Family|Fantasy,0,spring,http://www.imdb.com/title/tt0112642/?ref_=fn_tt_tt_1,,6,casper|friendly ghost|ghost|maine|mansion,1.85,26,USA,100,0,52,4,Cathy Moriarty,92,Color,5/26/1995 0:00,2638,Fred Rogers,394,85903,Eric Idle,419,50000000
Cast Away,15000,233630478,English,Robert Zemeckis,2000,Adventure|Drama|Romance,23000,winter,http://www.imdb.com/title/tt0162222/?ref_=fn_tt_tt_1,,7.7,christmas|island|love|survival|talking to inanimate object,1.85,221,USA,143,1,0,4,Nick Searcy,1051,Color,12/22/2000 0:00,15838,Paul Sanchez,272,394317,Tom Hanks,410,90000000
Cat on a Hot Tin Roof,253,,English,Richard Brooks,1958,Drama|Romance,0,summer,http://www.imdb.com/title/tt0051459/?ref_=fn_tt_tt_1,3.5,8.1,cancer|football|homosexuality|marriage|mississippi,1.85,70,USA,108,0,174,5,Jack Carson,141,Color,9/20/1958 0:00,649,Judith Anderson,110,33741,Burl Ives,197,3000000
Cat People,783,,English,Paul Schrader,1982,Fantasy|Horror|Thriller,0,spring,http://www.imdb.com/title/tt0083722/?ref_=fn_tt_tt_1,,6.1,cat|cat people|leopard|love|slip the undergarment,1.85,130,USA,93,1,261,4,John Heard,106,Color,4/2/1982 0:00,3700,Ruby Dee,697,14193,Ed Begley Jr.,782,18000000
Cat People,783,,English,Paul Schrader,1982,Fantasy|Horror|Thriller,0,spring,http://www.imdb.com/title/tt0083722/?ref_=fn_tt_tt_1,4.5,6.1,cat|cat people|leopard|love|slip the undergarment,1.85,130,USA,93,1,261,4,John Heard,106,Color,4/2/1982 0:00,3700,Ruby Dee,697,14193,Ed Begley Jr.,782,18000000
Catch a Fire,543,4291965,English,Phillip Noyce,2006,Biography|Drama|History,447,fall,http://www.imdb.com/title/tt0437232/?ref_=fn_tt_tt_1,3.5,6.7,attack|coach|colonel|jail|oil refinery,2.35,108,France,98,3,176,4,Bonnie Henna,59,Color,10/27/2006 0:00,678,Terry Pheto,15,9334,Derek Luke,113,14000000
Catch Me If You Can,29000,164435221,English,Steven Spielberg,2002,Biography|Crime|Drama,15000,winter,http://www.imdb.com/title/tt0264464/?ref_=fn_tt_tt_1,2,8,attorney|cat and mouse|fbi|pan am|pilot,1.85,194,USA,141,0,14000,2,Jennifer Garner,667,Color,12/25/2002 0:00,48153,Tom Hanks,3000,525801,Leonardo DiCaprio,15000,52000000
Catch That Kid,17000,16702864,English,Bart Freundlich,2004,Comedy|Crime,591,winter,http://www.imdb.com/title/tt0337917/?ref_=fn_tt_tt_1,4.5,5.2,caper|computer genius|dog|heist|security chief,1.85,54,USA,91,0,38,4,Kevin G. Schmidt,49,Color,2/6/2004 0:00,18711,Corbin Bleu,362,8023,Kristen Stewart,632,18000000
Catch-22,643,,English,Mike Nichols,1970,Comedy|Drama|War,0,summer,http://www.imdb.com/title/tt0065528/?ref_=fn_tt_tt_1,2,7.2,catch 22|friend|insanity|kneed in the groin|military,2.35,45,USA,122,0,0,2,Martin Balsam,124,Color,6/24/1970 0:00,2032,Bob Balaban,191,17277,Bob Newhart,559,18000000
Cats & Dogs: The Revenge of Kitty Galore,975,43575716,English,Brad Peyton,2010,Action|Comedy|Family|Fantasy,0,summer,http://www.imdb.com/title/tt1287468/?ref_=fn_tt_tt_1,0.5,4.3,cartoon on tv|cat|dog|kitty|special agent,1.85,91,USA,82,0,62,4,Katt Williams,63,Color,7/30/2010 0:00,3326,Sean Hayes,615,10233,Jack McBrayer,760,85000000
Cats & Dogs,3000,93375151,English,Lawrence Guterman,2001,Action|Comedy|Family|Fantasy,0,summer,http://www.imdb.com/title/tt0239395/?ref_=fn_tt_tt_1,2,5.2,cartoon on tv|cat|dog|scientist|secret agent,1.85,105,USA,87,0,6,2,Miriam Margolyes,235,Color,7/4/2001 0:00,4171,Elizabeth Perkins,405,46031,Carol Ann Susi,664,60000000
Catwoman,827,40198710,English,Pitof,2004,Action|Crime|Fantasy|Romance|Thriller,0,summer,http://www.imdb.com/title/tt0327554/?ref_=fn_tt_tt_1,1,3.3,based on cult comic book|bechdel test passed|cat|detective|radical transformation,2.35,212,USA,87,0,26,4,Alex Borstein,660,Color,7/23/2004 0:00,3144,Christopher Heyerdahl,566,87451,Frances Conroy,825,100000000
Cavite,0,70071,English,Neill Dela Llana,2005,Thriller,74,winter,http://www.imdb.com/title/tt0428303/?ref_=fn_tt_tt_1,4,6.3,jihad|mindanao|philippines|security guard|squatter,,35,Philippines,80,0,0,5,Quynn Ton,35,Color,3/12/2005 0:00,0,Edgar Tancangco,0,589,Ian Gamazon,0,7000
Cecil B. DeMented,975,1276984,English,John Waters,2000,Comedy|Crime|Thriller,795,summer,http://www.imdb.com/title/tt0173716/?ref_=fn_tt_tt_1,0.5,6.2,actress|drive in|female protagonist|movie star|woman shot in the forehead,1.85,90,France,87,2,0,4,Kevin Nealon,150,Color,9/1/2000 0:00,3059,Melanie Griffith,503,11403,Alicia Witt,537,10000000
Cedar Rapids,1000,6857503,English,Miguel Arteta,2011,Comedy,0,winter,http://www.imdb.com/title/tt1477837/?ref_=fn_tt_tt_1,3.5,6.3,award|cedar rapids iowa|convention|hotel|insurance,1.85,212,USA,87,1,44,4,Alia Shawkat,85,Color,3/18/2011 0:00,4769,Stephen Root,727,32697,Kurtwood Smith,939,
